GREAT_WARS_ENABLED_DESC;¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½;;;;;;;;;;X
GREAT_WARS_DISABLED_DESC;»¹²»¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½;;;;;;;;;;X
GREAT_WARS_ENABLE_DESC;Õ½Õù¿ÉÒÔÑÝ±äÎªÊÀ½ç´óÕ½£¡;;;;;;;;;;X
GREAT_WAR_NAME;$ORDER$ÊÀ½ç´óÕ½;;;;;;;;;;X
GW_DISCOVERED_SETUP;¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½Ê±;;;;;;;;;;X
GW_DISCOVERED_HEADER;¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½£¡;;;;;;;;;;X
GW_DISCOVERED_1;¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½£¡;;;;;;;;;;X
GW_DISCOVERED_2;´ÓÏÖÔÚ¿ªÊ¼£¬;;;;;;;;;;X
GW_DISCOVERED_3;Ã¿Ò»³¡Ë«·½¸÷ÓÐÖÁÉÙÁ½¸ö³¬¼¶´ó¹úµÄÕ½Õù;;;;;;;;;;X
GW_DISCOVERED_4;¶¼½«ÑÝ±äÎª;;;;;;;;;;X
GW_DISCOVERED_5;§YÊÀ½ç´óÕ½§!¡£;;;;;;;;;;X
GW_DISCOVERED_6;*;;;;;;;;;;X
GW_DISCOVERED_BTN1;ºÃµÄ;;;;;;;;;;X
GW_DISCOVERED_BTN2;ºÃµÄ;;;;;;;;;;X
GW_DISCOVERED_BTN3;×ªµ½;;;;;;;;;;X
GW_DISCOVERED_LOG;¿ÉÒÔ·¢¶¯ÊÀ½ç´óÕ½;;;;;;;;;;X
WAR_GAIN_GW_STATUS_SETUP;µ±ÎÒÃÇµÄÕ½Õù³ÉÎªÊÀ½ç´óÕ½;;;;;;;;;;X
WAR_GAIN_GW_STATUS_HEADER;ÊÀ½ç´óÕ½£¡;;;;;;;;;;X
WAR_GAIN_GW_STATUS_1;$WAR$;;;;;;;;;;X
